Fannie Mae Projected Environmental Impact At Issuance Per CUSIP: Multifamily Green MBS(1)(2),,,,,,,,,
2012-2022,,,,,,,,,
© 2023 Fannie Mae,,,,,,,,,
,,,,,,,,,
Security CUSIP,(notes),Green Financing Type,Issue Date,"Issuance UPB
($USD)","Estimated Annual 
Energy Savings (3)(4)
(kBTU) ","Estimated Annual 
Emissions Savings (3)
(MTCO2e) ","Estimated Annual 
Water Savings (3)
(gallons) ",,
3140LGDS8,,Green Building Certification,1 May 2022," 36,829,000 "," 3,094,746 ", 141 , -   ,,
3140LGGD8,,Green Building Certification,1 May 2022," 45,000,000 "," 8,614,216 ", 315 , -   ,,
3140LGGJ5,,Green Building Certification,1 May 2022," 32,973,000 "," 3,363,782 ", 126 , -   ,,
3140LGJJ2,,Green Building Certification,1 May 2022," 36,637,000 "," 885,330 ", 24 , -   ,,
3140LGKT8,,Green Building Certification,1 May 2022," 8,780,000 "," 1,917,202 ", 93 , -   ,,
3140LGKY7,,Green Building Certification,1 May 2022," 36,179,000 "," 3,115,477 ", 146 , -   ,,
3140LGLJ9,,Green Building Certification,1 May 2022," 18,473,000 "," 2,461,020 ", 79 , -   ,,
3140LFYU2,,Green Rewards,1 May 2022," 12,221,000 "," 2,848,533 ", 165 ," 2,055,040 ",,
3140LFZY3,,Green Rewards,1 May 2022," 12,929,000 "," 2,796,003 ", 167 ," 3,308,030 ",,
3140LGBD3,,Green Rewards,1 May 2022," 17,582,000 "," 2,553,932 ", 183 ," 1,663,340 ",,
3140LGBJ0,,Green Rewards,1 May 2022," 18,675,000 "," 2,644,895 ", 189 ," 864,280 ",,
3140LGEP3,,Green Rewards,1 May 2022," 30,289,000 "," 8,179,152 ", 586 ," 4,290,980 ",,
3140LEZD2,,Green Building Certification,1 Apr 2022," 45,658,000 "," 3,398,330 ", 142 , -   ,,
3140LF2Y9,(5),Green Building Certification,1 Apr 2022," 32,875,000 ", -   , -   , -   ,,
3140LF7A6,(5),Green Building Certification,1 Apr 2022," 24,009,000 ", -   , -   , -   ,,
3140LFP65,(5),Green Building Certification,1 Apr 2022," 129,008,000 ", -   , -   ," 176,250 ",,
3140LFPJ7,(5),Green Building Certification,1 Apr 2022," 70,692,000 ", -   , -   , -   ,,
3140LFQJ6,,Green Building Certification,1 Apr 2022," 47,190,000 "," 3,450,029 ", 161 , -   ,,
3140LFR48,,Green Building Certification,1 Apr 2022," 36,465,000 "," 1,706,609 ", 80 , -   ,,
3140LFRX4,,Green Building Certification,1 Apr 2022," 10,534,000 "," 733,804 ", 37 , -   ,,
3140LFTY0,,Green Building Certification,1 Apr 2022," 37,925,000 "," 3,905,048 ", 146 , -   ,,
3140LFUZ5,(5),Green Building Certification,1 Apr 2022," 77,000,000 ", -   , -   , -   ,,
3140LFWN0,,Green Building Certification,1 Apr 2022," 67,031,000 "," 4,888,280 ", 236 , -   ,,
3140LFWQ3,,Green Building Certification,1 Apr 2022," 25,054,000 "," 5,695,946 ", 285 , -   ,,
3140LFXG4,,Green Building Certification,1 Apr 2022," 129,520,000 "," 9,293,707 ", 269 , -   ,,
3140LFYL2,,Green Building Certification,1 Apr 2022," 40,290,000 "," 3,852,141 ", 180 , -   ,,
3140LFYZ1,,Green Building Certification,1 Apr 2022," 42,504,000 "," 4,529,442 ", 192 , -   ,,
3140LGAF9,,Green Building Certification,1 Apr 2022," 26,483,000 "," 1,281,708 ", 49 , -   ,,
3140LGAG7,,Green Building Certification,1 Apr 2022," 35,698,000 "," 1,844,598 ", 71 , -   ,,
3140LGB35,,Green Building Certification,1 Apr 2022," 61,238,000 "," 4,819,896 ", 202 , -   ,,
3140LGCJ9,,Green Building Certification,1 Apr 2022," 42,000,000 "," 3,327,042 ", 138 , -   ,,
3140LF5W0,,Green Rewards,1 Apr 2022," 22,503,000 "," 2,174,970 ", 110 ," 851,230 ",,
3140LFTX2,,Green Rewards,1 Apr 2022," 7,277,000 "," 2,142,574 ", 138 ," 666,100 ",,
3140LFZ31,,Green Rewards,1 Apr 2022," 31,025,000 "," 4,730,974 ", 339 ," 1,493,720 ",,
3140LFBJ2,,Green Building Certification,1 Mar 2022," 34,368,000 "," 3,766,227 ", 141 , -   ,,
3140LFGS7,,Green Building Certification,1 Mar 2022," 35,000,000 "," 5,307,983 ", 267 , -   ,,
3140LFH49,(5),Green Building Certification,1 Mar 2022," 8,600,000 ", -   , -   , -   ,,
3140LFMH4,,Green Building Certification,1 Mar 2022," 19,000,000 "," 2,019,575 ", 110 , -   ,,
3140LFNQ3,,Green Building Certification,1 Mar 2022," 20,826,000 "," 22,056,645 ", 665 , -   ,,
3140LFNT7,,Green Building Certification,1 Mar 2022," 7,031,000 "," 706,202 ", 23 , -   ,,
3140LFNU4,,Green Building Certification,1 Mar 2022," 63,500,000 "," 4,815,761 ", 155 , -   ,,
3140LFNV2,,Green Building Certification,1 Mar 2022," 23,380,000 "," 1,856,577 ", 119 , -   ,,
3140LFPL2,(5),Green Building Certification,1 Mar 2022," 59,692,000 ", -   , -   , -   ,,
3140LFSL9,,Green Building Certification,1 Mar 2022," 20,164,000 "," 4,424,377 ", 181 , -   ,,
3140LFSZ8,,Green Building Certification,1 Mar 2022," 45,023,000 "," 4,211,467 ", 179 , -   ,,
3140LFUF9,,Green Building Certification,1 Mar 2022," 21,510,000 "," 1,260,051 ", 47 , -   ,,
3140LFUJ1,,Green Building Certification,1 Mar 2022," 12,350,000 "," 1,953,374 ", 136 , -   ,,
3140LFV27,(5),Green Building Certification,1 Mar 2022," 12,392,000 ", -   , -   , -   ,,
3140LFHD9,,Green Rewards,1 Mar 2022," 61,591,000 "," 3,413,023 ", 236 ," 1,658,420 ",,
3140LFN34,,Green Rewards,1 Mar 2022," 7,514,000 "," 732,730 ", 47 ," 779,930 ",,
3140LFPQ1,,Green Rewards,1 Mar 2022," 20,169,000 "," 3,629,262 ", 260 ," 744,210 ",,
3140LESK4,,Green Building Certification,1 Feb 2022," 40,740,000 "," 1,864,272 ", 65 , -   ,,
3140LESM0,,Green Building Certification,1 Feb 2022," 7,250,000 "," 1,030,442 ", 43 , -   ,,
3140LEU21,,Green Building Certification,1 Feb 2022," 69,300,000 "," 5,313,024 ", 342 , -   ,,
3140LEY27,(5),Green Building Certification,1 Feb 2022," 103,729,000 ", -   , -   ," 1,998,606 ",,
3140LFA95,,Green Building Certification,1 Feb 2022," 30,510,000 "," 1,568,979 ", 84 , -   ,,
3140LFC44,,Green Building Certification,1 Feb 2022," 56,893,000 "," 5,062,267 ", 238 , -   ,,
3140LFLY8,,Green Building Certification,1 Feb 2022," 53,957,000 "," 1,092,487 ", 41 , -   ,,
3140LFMD3,,Green Building Certification,1 Feb 2022," 37,076,000 "," 1,753,630 ", 75 , -   ,,
3140LFMK7,,Green Building Certification,1 Feb 2022," 89,634,000 "," 2,847,485 ", 109 , -   ,,
3140LFF41,,Green Rewards,1 Feb 2022," 38,431,000 "," 3,853,723 ", 276 ," 2,037,750 ",,
3140LFG65,,Green Rewards,1 Feb 2022," 36,589,000 "," 6,314,127 ", 452 ," 2,390,780 ",,
3140LFGX6,,Green Rewards,1 Feb 2022," 25,000,000 "," 5,704,584 ", 350 ," 4,192,100 ",,
3140LFNA8,,Green Rewards,1 Feb 2022," 99,000,000 "," 15,661,546 ", 907 ," 8,738,720 ",,
3140LE2F3,,Green Building Certification,1 Jan 2022," 10,039,000 "," 1,346,699 ", 74 , -   ,,
3140LE3E5,,Green Building Certification,1 Jan 2022," 10,100,000 "," 776,601 ", 30 , -   ,,
