Fannie Mae Projected Environmental Impact At Issuance Per CUSIP: Multifamily Green MBS(1)(2),,,,,,,,,
2012-2022,,,,,,,,,
© 2023 Fannie Mae,,,,,,,,,
,,,,,,,,,
Security CUSIP,(notes),Green Financing Type,Issue Date,"Issuance UPB
($USD)","Estimated Annual 
Energy Savings (3)(4)
(kBTU) ","Estimated Annual 
Emissions Savings (3)
(MTCO2e) ","Estimated Annual 
Water Savings (3)
(gallons) ",,
3140HTJ75,,Green Rewards,1 May 2019," 7,500,000 "," 2,877,105 ", 206 ," 650,210 ",,
3140HTMK2,,Green Rewards,1 May 2019," 4,762,000 "," 1,636,579 ", 117 ," 930,990 ",,
3140HTN47,,Green Rewards,1 May 2019," 7,350,000 "," 3,797,838 ", 272 ," 1,688,500 ",,
3140HTNL9,,Green Rewards,1 May 2019," 30,277,000 "," 4,776,454 ", 342 ," 1,698,500 ",,
3140HTP45,,Green Rewards,1 May 2019," 37,255,000 "," 5,261,855 ", 377 ," 2,575,260 ",,
3140HTPG8,,Green Rewards,1 May 2019," 14,950,000 "," 3,993,831 ", 286 ," 1,215,450 ",,
3140HTPX1,,Green Rewards,1 May 2019," 8,500,000 "," 1,424,144 ", 81 ," 1,016,630 ",,
3140HTQ44,,Green Rewards,1 May 2019," 10,510,204 "," 1,839,683 ", 132 ," 1,224,110 ",,
3140HTQ69,,Green Rewards,1 May 2019," 8,572,000 "," 2,200,585 ", 135 ," 729,550 ",,
3140HTQH5,,Green Building Certification,1 May 2019," 13,650,000 "," 2,583,950 ", 147 , -   ,,
3140HTQN2,,Green Building Certification,1 May 2019," 12,687,500 "," 2,427,175 ", 139 , -   ,,
3140HTQW2,,Green Rewards,1 May 2019," 8,488,000 "," 1,896,245 ", 136 ," 1,595,680 ",,
3140HTRE1,,Green Rewards,1 May 2019," 22,448,980 "," 3,265,675 ", 234 ," 1,238,640 ",,
3140HTRF8,(5),Green Building Certification,1 May 2019," 50,939,000 ", -   , -   , -   ,,
3140HTSJ9,,Green Rewards,1 May 2019," 63,727,000 "," 3,736,688 ", 230 ," 2,592,000 ",,
3140HTTM1,,Green Rewards,1 May 2019," 33,375,000 "," 8,794,212 ", 625 ," 3,253,890 ",,
3140HTTN9,,Green Rewards,1 May 2019," 35,000,000 "," 3,072,696 ", 220 ," 1,857,760 ",,
3140HTTW9,,Green Rewards,1 May 2019," 35,400,000 "," 11,532,653 ", 804 ," 4,581,000 ",,
3140HTU56,,Green Rewards,1 May 2019," 33,830,000 "," 4,787,729 ", 343 ," 1,819,040 ",,
3140HTUA5,,Green Rewards,1 May 2019," 4,300,000 "," 883,871 ", 60 ," 498,420 ",,
3140HTUC1,,Green Rewards,1 May 2019," 14,490,000 "," 2,967,623 ", 184 ," 3,076,040 ",,
3140HTUJ6,,Green Rewards,1 May 2019," 31,000,000 "," 3,292,850 ", 226 ," 1,190,560 ",,
3140HTUL1,,Green Rewards,1 May 2019," 27,037,000 "," 5,598,801 ", 401 ," 3,253,340 ",,
3140HTUZ0,,Green Rewards,1 May 2019," 26,677,000 "," 4,478,594 ", 321 ," 2,159,340 ",,
3140HTVC0,,Green Building Certification,1 May 2019," 41,251,000 "," 5,376,754 ", 259 , -   ,,
3140HTVD8,,Green Building Certification,1 May 2019," 60,991,000 "," 12,151,055 ", 590 , -   ,,
3140HTVE6,,Green Building Certification,1 May 2019," 41,385,000 "," 9,266,496 ", 450 , -   ,,
3140HTVR7,,Green Rewards,1 May 2019," 1,768,000 "," 1,072,170 ", 77 ," 588,940 ",,
3140HTVV8,,Green Rewards,1 May 2019," 5,000,000 "," 1,771,123 ", 127 ," 664,700 ",,
3140HTW39,,Green Rewards,1 May 2019," 45,700,000 "," 6,455,316 ", 462 ," 7,447,260 ",,
3140HTW88,,Green Rewards,1 May 2019," 7,200,000 "," 2,752,902 ", 177 ," 1,116,480 ",,
3140HTWN5,,Green Rewards,1 May 2019," 64,275,000 "," 1,463,177 ", 88 ," 4,263,840 ",,
3140HTWR6,,Green Building Certification,1 May 2019," 14,214,000 "," 12,938,758 ", 749 , -   ,,
3140HTWX3,,Green Rewards,1 May 2019," 4,560,000 "," 2,811,780 ", 201 ," 951,620 ",,
3140HTXB0,,Green Rewards,1 May 2019," 30,179,000 "," 7,332,761 ", 525 ," 1,423,000 ",,
3140HTXV6,,Green Rewards,1 May 2019," 6,294,000 "," 1,675,766 ", 120 ," 472,190 ",,
3140HTYH6,,Green Rewards,1 May 2019," 11,750,000 "," 4,544,809 ", 326 ," 1,880,680 ",,
3140HTYW3,,Green Rewards,1 May 2019," 8,320,000 "," 2,106,360 ", 119 ," 2,149,970 ",,
3140HTZE2,,Green Rewards,1 May 2019," 18,074,000 "," 4,529,916 ", 325 ," 2,923,790 ",,
3140HS5Y3,,Green Rewards,1 Apr 2019," 5,040,000 "," 1,111,462 ", 80 ," 274,550 ",,
3140HS6G1,,Green Rewards,1 Apr 2019," 36,600,000 "," 8,326,614 ", 517 ," 7,869,740 ",,
3140HS6L0,,Green Rewards,1 Apr 2019," 8,157,000 "," 1,376,955 ", 77 ," 808,420 ",,
3140HS6T3,,Green Rewards,1 Apr 2019," 30,551,000 "," 4,688,152 ", 336 ," 1,325,460 ",,
3140HS6W6,,Green Rewards,1 Apr 2019," 16,350,000 "," 2,079,036 ", 136 ," 1,366,420 ",,
3140HS7C9,,Green Rewards,1 Apr 2019," 32,305,000 "," 2,868,170 ", 198 ," 757,290 ",,
3140HS7G0,,Green Rewards,1 Apr 2019," 45,589,000 "," 9,810,942 ", 703 ," 2,658,610 ",,
3140HTA66,,Green Rewards,1 Apr 2019," 46,950,000 "," 9,116,257 ", 653 ," 1,804,210 ",,
3140HTC80,,Green Building Certification,1 Apr 2019," 16,601,700 "," 2,944,845 ", 168 , -   ,,
3140HTDV8,,Green Rewards,1 Apr 2019," 16,903,000 "," 1,146,484 ", 67 ," 777,680 ",,
3140HTE70,,Green Rewards,1 Apr 2019," 13,087,500 "," 3,392,001 ", 243 ," 909,750 ",,
3140HTER6,,Green Rewards,1 Apr 2019," 25,330,000 "," 3,291,054 ", 199 ," 1,467,700 ",,
3140HTF53,,Green Rewards,1 Apr 2019," 22,086,000 "," 2,432,576 ", 174 ," 4,417,000 ",,
3140HTFZ7,,Green Rewards,1 Apr 2019," 8,792,000 "," 3,720,430 ", 267 ," 3,219,920 ",,
3140HTG86,,Green Rewards,1 Apr 2019," 24,898,000 "," 6,610,967 ", 474 ," 1,438,000 ",,
3140HTGN3,,Green Rewards,1 Apr 2019," 9,700,000 "," 3,397,073 ", 234 ," 2,072,960 ",,
3140HTH51,,Green Rewards,1 Apr 2019," 24,663,000 "," 1,184,428 ", 77 ," 2,063,000 ",,
3140HTHJ1,,Green Rewards,1 Apr 2019," 53,365,000 "," 8,514,377 ", 546 ," 6,370,110 ",,
3140HTJG5,,Green Rewards,1 Apr 2019," 10,322,000 "," 5,557,120 ", 403 ," 2,513,420 ",,
3140HTJM2,,Green Rewards,1 Apr 2019," 13,750,000 "," 4,985,797 ", 314 ," 2,972,410 ",,
3140HTJR1,,Green Rewards,1 Apr 2019," 4,379,000 "," 2,039,133 ", 144 ," 332,080 ",,
3140HTJS9,,Green Rewards,1 Apr 2019," 5,625,000 "," 3,318,676 ", 238 ," 482,780 ",,
3140HTJT7,,Green Rewards,1 Apr 2019," 12,675,000 "," 2,030,717 ", 124 ," 2,084,930 ",,
3140HTJY6,,Green Rewards,1 Apr 2019," 30,550,000 "," 8,386,414 ", 601 ," 2,050,020 ",,
3140HTKF5,,Green Rewards,1 Apr 2019," 18,498,000 "," 3,745,700 ", 260 ," 1,442,900 ",,
3140HTKG3,,Green Rewards,1 Apr 2019," 25,014,500 "," 4,047,668 ", 268 ," 1,361,190 ",,
3140HTKR9,,Green Rewards,1 Apr 2019," 15,407,300 "," 7,862,636 ", 563 ," 716,130 ",,
3140HTLD9,,Green Rewards,1 Apr 2019," 10,169,000 "," 3,345,378 ", 206 ," 1,848,330 ",,
3140HTLM9,,Green Rewards,1 Apr 2019," 9,484,000 "," 2,191,544 ", 157 ," 1,354,590 ",,
3140HTLN7,,Green Rewards,1 Apr 2019," 5,031,000 "," 1,813,016 ", 117 ," 1,032,500 ",,
3140HTLQ0,,Green Rewards,1 Apr 2019," 6,060,000 "," 1,523,914 ", 109 ," 903,710 ",,
3140HTM30,,Green Rewards,1 Apr 2019," 12,746,000 "," 3,795,519 ", 272 ," 1,246,280 ",,
3140HTMP1,,Green Rewards,1 Apr 2019," 10,692,500 "," 2,919,819 ", 209 ," 1,872,100 ",,
3140HTNH8,,Green Rewards,1 Apr 2019," 12,350,000 "," 1,464,512 ", 105 ," 550,970 ",,
3140HTNK1,,Green Rewards,1 Apr 2019," 8,580,000 "," 1,132,003 ", 81 ," 470,070 ",,
3140HTPC7,,Green Rewards,1 Apr 2019," 4,529,000 "," 3,013,256 ", 216 ," 1,387,600 ",,
3140HTPD5,,Green Rewards,1 Apr 2019," 6,451,000 "," 3,166,252 ", 209 ," 888,440 ",,
3140HTQG7,,Green Rewards,1 Apr 2019," 10,887,000 "," 3,714,494 ", 250 ," 2,065,710 ",,
3140HTQJ1,,Green Rewards,1 Apr 2019," 19,000,000 "," 1,242,001 ", 79 ," 974,420 ",,
3140HTQR3,,Green Rewards,1 Apr 2019," 12,000,000 "," 4,694,557 ", 305 ," 3,632,560 ",,
3140HTRC5,,Green Rewards,1 Apr 2019," 15,000,000 "," 3,954,936 ", 283 ," 4,486,100 ",,
3140HS3Y5,,Green Rewards,1 Mar 2019," 7,350,000 "," 2,520,668 ", 181 ," 381,720 ",,
3140HS4X6,,Green Rewards,1 Mar 2019," 24,325,000 "," 8,966,880 ", 642 ," 1,616,340 ",,
3140HS5H0,,Green Building Certification,1 Mar 2019," 99,700,000 "," 9,997,226 ", 566 , -   ,,
3140HS6K2,,Green Rewards,1 Mar 2019," 24,704,000 "," 4,551,200 ", 314 ," 647,880 ",,
3140HS6X4,,Green Rewards,1 Mar 2019," 16,640,000 "," 3,318,422 ", 206 ," 1,449,740 ",,
3140HSRU7,,Green Rewards,1 Mar 2019," 19,350,000 "," 4,817,330 ", 345 ," 2,233,070 ",,
3140HST92,,Green Rewards,1 Mar 2019," 7,570,000 "," 1,874,287 ", 111 ," 1,449,510 ",,
3140HSU90,,Green Rewards,1 Mar 2019," 21,225,000 "," 4,418,466 ", 317 ," 3,097,230 ",,
3140HSUL3,,Green Rewards,1 Mar 2019," 5,191,800 "," 703,985 ", 50 ," 258,850 ",,
3140HSUM1,,Green Rewards,1 Mar 2019," 23,298,000 "," 3,124,536 ", 224 ," 1,035,040 ",,
3140HSUN9,,Green Rewards,1 Mar 2019," 58,497,000 "," 7,061,568 ", 506 ," 3,287,510 ",,
3140HSUP4,,Green Rewards,1 Mar 2019," 17,386,000 "," 2,869,553 ", 206 ," 1,328,410 ",,
3140HSUR0,,Green Rewards,1 Mar 2019," 44,800,000 "," 5,863,188 ", 420 ," 5,398,260 ",,
3140HSV32,,Green Rewards,1 Mar 2019," 7,762,000 "," 419,923 ", 30 ," 217,760 ",,
3140HSV40,,Green Rewards,1 Mar 2019," 35,866,000 "," 5,146,663 ", 369 ," 2,121,830 ",,
3140HSV57,,Green Rewards,1 Mar 2019," 30,181,800 "," 4,121,085 ", 295 ," 2,696,290 ",,
3140HSW64,,Green Rewards,1 Mar 2019," 16,763,000 "," 8,929,303 ", 640 ," 2,305,440 ",,
3140HSWP2,,Green Rewards,1 Mar 2019," 20,960,000 "," 316,420 ", 20 ," 6,448,830 ",,
3140HSWX5,,Green Rewards,1 Mar 2019," 19,000,000 "," 3,995,253 ", 257 ," 1,402,570 ",,
3140HSXR7,,Green Rewards,1 Mar 2019," 15,680,000 "," 3,769,593 ", 212 ," 2,868,560 ",,
3140HSY47,,Green Rewards,1 Mar 2019," 17,500,000 "," 3,536,376 ", 253 ," 1,114,820 ",,
3140HSYC9,,Green Rewards,1 Mar 2019," 18,410,000 "," 4,189,643 ", 287 ," 1,725,770 ",,
3140HSZB0,,Green Rewards,1 Mar 2019," 19,923,000 "," 835,800 ", 42 ," 2,724,970 ",,
3140HTA41,,Green Rewards,1 Mar 2019," 6,375,000 "," 3,516,313 ", 252 ," 1,076,120 ",,
3140HTAX7,,Green Rewards,1 Mar 2019," 32,690,000 "," 7,261,956 ", 468 ," 3,440,630 ",,
3140HTAY5,,Green Rewards,1 Mar 2019," 12,195,000 "," 7,100,838 ", 509 ," 4,614,360 ",,
3140HTAZ2,,Green Building Certification,1 Mar 2019," 15,000,000 "," 14,264,573 ", 789 , -   ,,
3140HTBN8,,Green Rewards,1 Mar 2019," 5,418,000 "," 1,105,448 ", 79 ," 482,270 ",,
3140HTCW7,,Green Rewards,1 Mar 2019," 11,479,000 "," 2,166,537 ", 155 ," 1,559,000 ",,
3140HTDL0,,Green Rewards,1 Mar 2019," 8,978,000 "," 5,320,428 ", 381 ," 2,696,320 ",,
3140HTDZ9,,Green Rewards,1 Mar 2019," 8,710,000 "," 1,866,143 ", 131 ," 861,430 ",,
3140HTE21,,Green Rewards,1 Mar 2019," 3,336,000 "," 1,439,117 ", 103 ," 324,920 ",,
3140HTEZ8,,Green Rewards,1 Mar 2019," 3,336,000 "," 1,655,999 ", 103 ," 553,950 ",,
3140HR5E9,,Green Rewards,1 Feb 2019," 37,130,000 "," 2,159,340 ", 155 ," 2,953,350 ",,
3140HR7M9,,Green Rewards,1 Feb 2019," 9,045,000 "," 973,149 ", 49 ," 2,299,070 ",,
3140HRZX4,,Green Rewards,1 Feb 2019," 14,360,000 "," 1,856,987 ", 133 ," 2,273,080 ",,
3140HS2B6,,Green Rewards,1 Feb 2019," 25,457,000 "," 4,581,486 ", 328 ," 1,918,000 ",,
3140HS2D2,,Green Rewards,1 Feb 2019," 7,400,000 "," 1,146,506 ", 76 ," 1,957,430 ",,
3140HS2R1,,Green Rewards,1 Feb 2019," 16,125,000 "," 1,923,006 ", 138 ," 2,362,000 ",,
3140HS3F6,,Green Rewards,1 Feb 2019," 2,500,000 "," 374,007 ", 19 ," 1,136,570 ",,
3140HS3Q2,,Green Rewards,1 Feb 2019," 9,300,000 "," 4,668,564 ", 334 ," 1,927,010 ",,
3140HS3U3,,Green Rewards,1 Feb 2019," 2,800,000 "," 1,398,225 ", 96 ," 683,810 ",,
3140HSAA9,,Green Rewards,1 Feb 2019," 18,345,000 "," 1,315,317 ", 67 ," 4,313,960 ",,
3140HSJX0,,Green Rewards,1 Feb 2019," 79,520,000 "," 2,145,281 ", 109 ," 4,735,460 ",,
3140HSL82,,Green Rewards,1 Feb 2019," 12,812,000 "," 572,565 ", 29 ," 2,248,900 ",,
3140HSMR9,,Green Rewards,1 Feb 2019," 3,500,000 "," 132,417 ", 7 ," 442,940 ",,
3140HSPS4,,Green Rewards,1 Feb 2019," 7,077,000 "," 1,315,330 ", 94 ," 1,423,340 ",,
3140HSQA2,,Green Rewards,1 Feb 2019," 29,853,700 "," 9,061,974 ", 619 ," 3,270,840 ",,
3140HSQD6,,Green Rewards,1 Feb 2019," 48,055,000 "," 9,415,665 ", 675 ," 2,661,190 ",,
3140HSR60,,Green Rewards,1 Feb 2019," 12,523,000 "," 576,674 ", 41 ," 1,490,740 ",,
3140HSRY9,,Green Rewards,1 Feb 2019," 21,901,000 "," 4,269,438 ", 306 ," 1,455,250 ",,
3140HSS36,,Green Rewards,1 Feb 2019," 15,600,000 "," 758,904 ", 52 ," 3,575,350 ",,
3140HSSD4,,Green Rewards,1 Feb 2019," 6,510,000 "," 287,700 ", 15 ," 2,027,560 ",,
3140HSSY8,,Green Rewards,1 Feb 2019," 13,500,000 "," 2,087,232 ", 106 ," 3,884,070 ",,
3140HSU33,,Green Rewards,1 Feb 2019," 10,000,000 "," 91,035 ", 5 ," 546,110 ",,
3140HSU58,,Green Rewards,1 Feb 2019," 28,208,000 "," 3,941,061 ", 282 ," 886,060 ",,
3140HSUC3,,Green Rewards,1 Feb 2019," 11,300,000 "," 2,805,864 ", 201 ," 1,328,920 ",,
3140HSUE9,,Green Rewards,1 Feb 2019," 48,500,000 "," 7,747,639 ", 555 ," 2,700,440 ",,
3140HSUT6,,Green Rewards,1 Feb 2019," 2,718,000 "," 375,562 ", 23 ," 444,120 ",,
3140HSV24,,Green Rewards,1 Feb 2019," 1,098,000 "," 964,121 ", 69 ," 484,000 ",,
3140HSV65,,Green Rewards,1 Feb 2019," 33,038,000 "," 4,933,804 ", 353 ," 3,441,720 ",,
3140HSVK4,,Green Rewards,1 Feb 2019," 26,180,000 "," 5,224,660 ", 306 ," 2,341,540 ",,
3140HSVQ1,,Green Rewards,1 Feb 2019," 17,202,000 "," 2,638,518 ", 189 ," 1,840,140 ",,
3140HSVR9,,Green Rewards,1 Feb 2019," 20,205,000 "," 3,072,788 ", 220 ," 2,088,950 ",,
3140HSVS7,,Green Rewards,1 Feb 2019," 24,669,000 "," 4,516,588 ", 324 ," 1,308,070 ",,
3140HSVT5,,Green Rewards,1 Feb 2019," 13,607,000 "," 1,970,854 ", 141 ," 1,551,130 ",,
3140HSVU2,,Green Rewards,1 Feb 2019," 38,197,000 "," 4,729,424 ", 339 ," 3,212,620 ",,
3140HSVV0,,Green Rewards,1 Feb 2019," 12,662,000 "," 1,762,404 ", 126 ," 658,540 ",,
3140HSW23,,Green Rewards,1 Feb 2019," 10,110,000 "," 209,537 ", 15 ," 4,324,670 ",,
3140HSWS6,,Green Rewards,1 Feb 2019," 17,600,000 "," 6,946,364 ", 498 ," 4,022,160 ",,
3140HSWU1,,Green Rewards,1 Feb 2019," 11,675,000 "," 556,753 ", 28 ," 2,031,130 ",,
3140HSWW7,,Green Rewards,1 Feb 2019," 34,800,000 "," 359,349 ", 26 ," 3,627,920 ",,
3140HSXE6,,Green Rewards,1 Feb 2019," 23,500,000 "," 4,739,902 ", 271 ," 4,339,050 ",,
3140HSXG1,,Green Rewards,1 Feb 2019," 56,560,000 "," 11,419,812 ", 800 ," 4,758,420 ",,
3140HSXH9,,Green Rewards,1 Feb 2019," 800,000 "," 143,807 ", 10 ," 144,820 ",,
3140HSXY2,,Green Rewards,1 Feb 2019," 10,085,000 "," 3,236,095 ", 232 ," 1,588,620 ",,
3140HSXZ9,,Green Rewards,1 Feb 2019," 20,315,000 "," 8,299,715 ", 589 ," 4,350,480 ",,
3140HSYD7,,Green Building Certification,1 Feb 2019," 10,644,300 "," 9,393,359 ", 367 , -   ,,
3140HSYW5,,Green Rewards,1 Feb 2019," 2,600,000 "," 1,066,762 ", 75 ," 574,650 ",,
3140HSZK0,,Green Rewards,1 Feb 2019," 11,580,000 "," 491,393 ", 25 ," 2,024,010 ",,
3140HSZN4,,Green Rewards,1 Feb 2019," 25,214,000 "," 14,537,543 "," 1,006 "," 2,937,380 ",,
3140HR4R1,,Green Rewards,1 Jan 2019," 10,935,340 "," 1,113,306 ", 80 ," 1,457,050 ",,
3140HR6E8,,Green Rewards,1 Jan 2019," 11,035,000 "," 399,978 ", 25 ," 1,444,150 ",,
3140HRN41,,Green Rewards,1 Jan 2019," 14,705,000 "," 803,319 ", 41 ," 2,109,950 ",,
3140HRP49,,Green Rewards,1 Jan 2019," 30,895,000 "," 1,412,602 ", 101 ," 1,793,340 ",,
3140HRYQ0,,Green Rewards,1 Jan 2019," 44,500,000 "," 2,963,861 ", 188 ," 1,653,210 ",,
3140HSA84,,Green Rewards,1 Jan 2019," 15,000,000 "," 1,660,592 ", 119 ," 1,685,890 ",,
3140HSAK7,,Green Rewards,1 Jan 2019," 2,647,110 "," 385,719 ", 28 ," 894,080 ",,
3140HSBJ9,,Green Rewards,1 Jan 2019," 4,875,000 "," 278,775 ", 14 ," 855,860 ",,
3140HSBN0,,Green Rewards,1 Jan 2019," 25,850,000 "," 1,802,667 ", 91 ," 5,395,810 ",,
3140HSEC1,,Green Rewards,1 Jan 2019," 10,500,000 "," 2,664,227 ", 177 ," 1,747,000 ",,
3140HSF55,,Green Rewards,1 Jan 2019," 35,095,000 "," 1,801,341 ", 129 ," 3,604,370 ",,
3140HSFQ9,,Green Building Certification,1 Jan 2019," 17,340,000 "," 2,754,801 ", 159 , -   ,,
3140HSFZ9,,Green Rewards,1 Jan 2019," 26,303,300 "," 1,154,572 ", 83 ," 3,224,720 ",,
3140HSGU9,,Green Rewards,1 Jan 2019," 14,175,000 "," 1,425,704 ", 102 ," 1,684,040 ",,
3140HSGY1,,Green Rewards,1 Jan 2019," 7,625,000 "," 375,302 ", 19 ," 2,408,560 ",,
3140HSHA2,,Green Rewards,1 Jan 2019," 13,700,000 "," 434,928 ", 31 ," 662,280 ",,
3140HSHK0,,Green Rewards,1 Jan 2019," 6,270,000 "," 1,508,923 ", 108 ," 1,889,950 ",,
3140HSHR5,,Green Rewards,1 Jan 2019," 17,500,000 "," 1,232,657 ", 88 ," 2,100,200 ",,
3140HSHU8,,Green Rewards,1 Jan 2019," 9,600,000 "," 489,510 ", 25 ," 1,734,280 ",,
3140HSHY0,,Green Rewards,1 Jan 2019," 6,565,000 "," 348,380 ", 18 ," 1,065,610 ",,
3140HSJ28,,Green Rewards,1 Jan 2019," 7,050,000 "," 1,220,605 ", 87 ," 1,884,760 ",,
3140HSJ85,,Green Rewards,1 Jan 2019," 13,591,000 "," 4,739,388 ", 340 , -   ,,
3140HSJD4,,Green Rewards,1 Jan 2019," 16,800,000 "," 209,945 ", 11 ," 972,090 ",,
3140HSJH5,,Green Rewards,1 Jan 2019," 10,312,000 "," 270,731 ", 19 ," 692,380 ",,
3140HSJN2,,Green Rewards,1 Jan 2019," 9,850,000 "," 714,862 ", 51 ," 1,309,130 ",,
3140HSJP7,,Green Rewards,1 Jan 2019," 9,440,000 "," 426,013 ", 22 ," 1,254,220 ",,
3140HSJS1,,Green Rewards,1 Jan 2019," 9,540,000 "," 3,650,613 ", 262 ," 1,212,050 ",,
3140HSJV4,,Green Rewards,1 Jan 2019," 20,368,000 "," 777,255 ", 56 ," 1,558,520 ",,
3140HSJY8,,Green Rewards,1 Jan 2019," 7,400,000 "," 1,375,122 ", 99 ," 1,608,910 ",,
3140HSK42,,Green Rewards,1 Jan 2019," 8,900,000 "," 909,796 ", 65 ," 1,545,150 ",,
3140HSKN0,,Green Rewards,1 Jan 2019," 8,125,000 "," 332,828 ", 24 ," 1,018,490 ",,
3140HSKP5,,Green Rewards,1 Jan 2019," 16,846,000 "," 351,668 ", 25 ," 1,280,110 ",,
3140HSKT7,,Green Rewards,1 Jan 2019," 12,800,000 "," 824,670 ", 42 ," 1,907,480 ",,
3140HSKY6,,Green Rewards,1 Jan 2019," 13,440,000 "," 1,916,114 ", 97 ," 7,292,180 ",,
3140HSLP4,,Green Rewards,1 Jan 2019," 29,000,000 "," 2,010,330 ", 144 ," 3,754,680 ",,
3140HSLW9,,Green Rewards,1 Jan 2019," 41,000,000 "," 5,735,794 ", 343 ," 4,542,390 ",,
3140HSM57,,Green Rewards,1 Jan 2019," 21,341,000 "," 1,547,430 ", 78 ," 6,168,220 ",,
3140HSM81,,Green Rewards,1 Jan 2019," 2,680,000 "," 125,680 ", 9 ," 531,970 ",,
3140HSML2,,Green Rewards,1 Jan 2019," 10,574,000 "," 1,287,348 ", 92 ," 1,832,900 ",,
3140HSMV0,,Green Rewards,1 Jan 2019," 8,484,000 "," 723,984 ", 52 ," 1,715,720 ",,
3140HSMW8,,Green Rewards,1 Jan 2019," 3,850,000 "," 2,022,028 ", 145 ," 173,660 ",,
3140HSN72,,Green Rewards,1 Jan 2019," 7,900,000 "," 1,929,775 ", 98 ," 4,627,220 ",,
3140HSNS6,,Green Rewards,1 Jan 2019," 95,127,000 "," 344,925 ", 17 ," 7,590,200 ",,
3140HSP39,,Green Rewards,1 Jan 2019," 8,905,000 "," 2,890,600 ", 209 ," 579,280 ",,
3140HSP54,,Green Rewards,1 Jan 2019," 13,000,000 "," 1,499,464 ", 76 ," 4,597,560 ",,
3140HSP96,,Green Rewards,1 Jan 2019," 5,775,000 "," 869,085 ", 44 ," 1,739,970 ",,
3140HSPT2,,Green Rewards,1 Jan 2019," 7,776,000 "," 1,745,940 ", 88 ," 4,246,000 ",,
3140HSPW5,(5),Green Building Certification,1 Jan 2019," 1,590,000 ", -   , -   , -   ,,
3140HSQ95,,Green Rewards,1 Jan 2019," 8,804,000 "," 57,743 ", 3 ," 484,210 ",,
3140HSQR5,,Green Rewards,1 Jan 2019," 32,295,000 "," 3,929,921 ", 282 ," 4,587,000 ",,
3140HSRD5,,Green Rewards,1 Jan 2019," 14,000,000 "," 1,748,215 ", 125 ," 3,476,820 ",,
3140HSRF0,,Green Rewards,1 Jan 2019," 17,500,000 "," 1,671,232 ", 120 ," 2,375,960 ",,
3140HSS44,,Green Rewards,1 Jan 2019," 2,200,000 "," 1,338,700 ", 96 ," 687,930 ",,
3140HSSP7,,Green Rewards,1 Jan 2019," 3,594,000 "," 78,238 ", 6 ," 2,326,000 ",,
3140HSSU6,,Green Rewards,1 Jan 2019," 3,000,000 "," 411,059 ", 27 ," 300,170 ",,
3140HSSV4,,Green Rewards,1 Jan 2019," 11,063,000 "," 254,717 ", 13 ," 1,043,300 ",,
3140HSTC5,,Green Rewards,1 Jan 2019," 29,150,000 "," 888,825 ", 45 ," 4,761,000 ",,
3140HSTG6,,Green Rewards,1 Jan 2019," 5,250,000 "," 343,449 ", 21 ," 408,490 ",,
3140HSTH4,,Green Rewards,1 Jan 2019," 9,485,000 "," 820,340 ", 42 ," 1,620,000 ",,
313637N89,,Green Rewards,1 Dec 2018," 9,611,000 "," 1,242,045 ", 63 ," 3,164,550 ",,
313637UP3,,Green Rewards,1 Dec 2018," 3,775,000 "," 261,555 ", 13 ," 4,644,500 ",,
3140HR2H5,,Green Rewards,1 Dec 2018," 3,570,000 "," 1,380,663 ", 94 ," 3,447,930 ",,
3140HR2J1,,Green Rewards,1 Dec 2018," 6,000,000 "," 1,036,333 ", 74 ," 2,619,900 ",,
3140HR2V4,,Green Rewards,1 Dec 2018," 17,826,000 "," 755,006 ", 39 ," 4,005,000 ",,
3140HR2X0,,Green Rewards,1 Dec 2018," 8,437,000 "," 208,110 ", 11 ," 485,000 ",,
3140HR2Y8,,Green Rewards,1 Dec 2018," 5,863,000 "," 438,236 ", 22 ," 1,507,810 ",,
3140HR3B7,,Green Rewards,1 Dec 2018," 38,463,000 "," 3,300,196 ", 236 ," 6,445,000 ",,
3140HR3D3,,Green Rewards,1 Dec 2018," 24,800,000 "," 2,962,323 ", 212 ," 4,723,470 ",,
3140HR3E1,,Green Rewards,1 Dec 2018," 2,188,000 "," 126,595 ", 9 ," 317,000 ",,
3140HR3N1,,Green Rewards,1 Dec 2018," 8,080,000 "," 871,814 ", 62 ," 1,852,760 ",,
3140HR3W1,,Green Rewards,1 Dec 2018," 29,825,000 "," 992,893 ", 71 ," 1,328,880 ",,
3140HR4A8,,Green Rewards,1 Dec 2018," 12,500,000 "," 1,272,320 ", 91 ," 6,239,420 ",,
3140HR4W0,,Green Building Certification,1 Dec 2018," 44,850,000 "," 2,953,991 ", 333 , -   ,,
3140HR5D1,,Green Rewards,1 Dec 2018," 36,640,000 "," 2,884,591 ", 207 ," 2,381,290 ",,
3140HR5H2,,Green Rewards,1 Dec 2018," 7,200,000 "," 559,342 ", 28 ," 2,098,750 ",,
3140HR5J8,,Green Rewards,1 Dec 2018," 35,640,000 "," 7,916,006 ", 541 ," 2,607,360 ",,
3140HR5X7,,Green Rewards,1 Dec 2018," 40,200,000 "," 629,219 ", 45 ," 2,596,550 ",,
3140HR5Y5,,Green Rewards,1 Dec 2018," 24,000,000 "," 727,233 ", 52 ," 2,682,200 ",,
3140HR5Z2,,Green Rewards,1 Dec 2018," 19,300,000 "," 312,272 ", 16 ," 1,465,370 ",,
